product_group;vol_per_item
PVC-C Ball Valves metric 542;1
PVC-C Ball Valves other 542;1
PROGEF Ball Valves  542;1
DigitalLine;0
PVC-U Diaphragm Valves electric;1
PVC-C Diaphragm Valves electric;1
PROGEF Diaphragm Valves electric;1
Components for 5xx Diaphragm Valves electric;1
Pressure Regulating Valves UT;1
ABS Ball Valves metric 546 Pro + PPA;1
ABS Ball Valves other 546 Pro + PPA;1
PROGEF Ball Valves 546 Pro + PPA;1
PVC-C Ball Valves metric 546 Pro + PPA;1
PVC-C Ball Valves other 546 Pro + PPA;1
PVC-U Ball Valves metric 546 Pro + PPA;1
PVC-U Ball Valves other 546 Pro + PPA;1
SYGEF Standard Ball Valves 546 Pro + PPA;1
Aluclima civil manifolds;3
Aluclima civil panels;3
Aluclima civil pipes;5
Aluclima controllers;3
Aluclima cooling;2
Aluclima Industry panels;4
Aluclima Industry pipes;5
Aluclima Industry manifolds;4
Aluclima others;3
Aluclima thermostat;1
Alupex Europ Fittings;1
Alupex Europ Manifolds;2
Alupex Europ Valves;1
Alupex EXPRESS Fittings;1
Alupex EXPRESS manifolds;1
Alupex EXPRESS tools;3
Alupex EXPRESS Valves;2
Alupex Gas Manifolds;2
Alupex Gas others;2
Alupex Gas Pipes;4
Alupex Gas Valves;1
Alupex OEM;2
Alupex others;1
Alupex pipes;4
Alupex ALPOL pipes;4
OEM pipes;4
Egeplast Express Fittings;1
Egeplast Tools;1
iFit Heating;3
iFit ML Pipe in bars;4
iFit ML Pipe in coils;4
iFIT ML Pipes insulated;4
