,Potential Factory Placement,Destination,Distance,Distance_normalized
237,Marginea,Tirana,1298439.1,1.13676455984982
238,Lewin Brzeski,Tirana,1641787.7,1.4373612687397876
239,Split,Tirana,493107.0,0.4317080114222262
240,Zarow,Tirana,1562180.9,1.3676666723870956
241,Khmilnyk,Tirana,1573317.0,1.3774161660791322
242,Rozdilna,Tirana,1432575.3,1.2541988533433903
243,Dombovar,Tirana,974327.2,0.8530093022134865
244,Pabianice,Tirana,1738970.6,1.5224434851821524
245,Tychy,Tirana,1534840.4,1.3437304620183737
246,Busko-Zdroj,Tirana,1488283.4,1.3029704852024198
247,Vidra,Tirana,853816.9,0.7475042861238834
248,Saliste,Tirana,960982.8,0.8413264739680494
249,Mezhova,Tirana,2035772.9,1.7822895849506466
250,Budakeszi,Tirana,994623.6,0.870778505414881
251,Galanta,Tirana,1134596.7,0.9933229200218616
252,Ustrzyki Dolne,Tirana,1421347.1,1.244368727439984
253,Ripanj,Tirana,594708.6,0.5206587354908694
254,Novolukoml',Tirana,2286986.7,2.0022236155764968
255,Gugesti,Tirana,1031324.2,0.9029093472889622
256,Fulnek,Tirana,1434555.1,1.2559321394679306
257,Druzhba,Tirana,2237748.7,1.9591164622276138
258,Cornetu,Tirana,815955.5,0.7143571807214829
259,Lunguletu,Tirana,831388.0,0.727868110167371
260,Sezimovo Usti,Tirana,1458322.6,1.2767402402685233
261,Pinczow,Tirana,1503688.0,1.3164569886038213
262,Nasice,Tirana,835708.2,0.7316503824753007
263,Kosmach,Tirana,1531128.9,1.3404810977132764
264,Gyula,Tirana,940364.7,0.8232756270924126
265,Przasnysz,Tirana,1921617.6,1.6823482789941149
266,Oleksandriya,Tirana,1809222.8,1.5839482651995451
267,Mavrodin,Tirana,756582.8,0.6623772448256867
268,Bartoszyce,Tirana,2086715.3,1.8268889157268793
269,Stanytsia Luhanska,Tirana,2445206.2,2.1407424881806554
270,Ustka,Tirana,2192629.3,1.9196150833168213
271,Sipovo,Tirana,523155.6,0.45801512397999133
272,Pelplin,Tirana,2009008.5,1.758857741758583
273,Mala Kladusa,Tirana,760104.4,0.6654603544408909
274,Illintsi,Tirana,1558397.3,1.364354185579938
275,Kunszentmiklos,Tirana,942032.3,0.8247355866546329
276,Trostyanets,Tirana,1520013.7,1.3307499016674684
277,Sovata,Tirana,1092555.4,0.9565163729223372
278,Nova Gorica,Tirana,1235521.0,1.0816806777847412
279,Berehove,Tirana,1281984.2,1.1223585340640339
280,Plana,Tirana,1655315.7,1.4492048361166854
281,Komadi,Tirana,977692.9,0.8559559236446237
282,Horodnia,Tirana,2075896.1,1.8174168633788506
283,Debrecen,Tirana,1049639.4,0.9189440386861647
284,Barsana,Tirana,1195355.4,1.0465162787728013
285,Raasiku,Tirana,2853774.0,2.498437658740298
286,Goldap,Tirana,2139594.1,1.8731835365584504
287,Lochau,Tirana,1721901.3,1.5074995611263806
288,Gostovici,Tirana,561065.4,0.49120460287892065
289,Sobotka,Tirana,1557375.4,1.3634595269827727
290,Cudalbi,Tirana,1103842.2,0.9663978022740202
291,Vysocany,Tirana,1504228.1,1.3169298383037225
292,Debrzno,Tirana,2040706.9,1.7866092302372827
293,Novi Pazar,Tirana,926614.5,0.8112375268450872
294,Tulchyn,Tirana,1501146.9,1.3142322924875116
295,Svoge,Tirana,532271.6,0.46599604948322904
296,Holmivskyi,Tirana,2205986.3,1.9313089426791232
297,Tervel,Tirana,988168.8,0.865127421832356
298,Witkowo,Tirana,1908134.2,1.670543758268977
299,Backi Petrovac,Tirana,717702.1,0.6283377570883312
300,Gorodok,Tirana,2438398.2,2.1347821831317257
301,Myslenice,Tirana,1338855.2,1.1721482679708601
302,Menges,Tirana,1146793.3,1.0040008660500308
303,Krupki,Tirana,2236198.9,1.9577596348532258
304,Centar,Tirana,996226.9,0.8721821712616714
305,Snihurivka,Tirana,1621814.1,1.4198746722466473
306,Barczewo,Tirana,2026607.1,1.7742650602712287
307,Savyntsi,Tirana,2154326.4,1.8860814510814152
308,Kalyny,Tirana,1391687.1,1.218401828534101
309,Szczecin,Tirana,1996188.8,1.7476342807368788
310,Svetlodarsk,Tirana,2169538.7,1.8993995986278067
311,Wiecbork,Tirana,2000632.0,1.7515242377570615
312,Hoerbranz,Tirana,1722073.9,1.5076506699177208
313,Davyd-Haradok,Tirana,2041122.8,1.7869733446423726
314,Usti nad Orlici,Tirana,1396936.3,1.2229974268394537
315,Zelow,Tirana,1703370.6,1.491276202611369
316,Yahotyn,Tirana,1973169.8,1.7274814808071917
317,Wlochy,Tirana,1848537.1,1.618367363434729
318,Uhersky Brod,Tirana,1314101.3,1.1504765883071266
319,Rozhniv,Tirana,1573084.1,1.377212265514224
